date,zec,ltc,eth,btc
1320100,26.966623,64.42753,336.989871,63.0516234
1320000,0.221727,31.8845,278.2885,20.5727351
12202300,14.453322,30.54077,65.189893,31.2736391
12202200,14.9537752,23.48475,208.341414,17.4953993
12202100,3.106979,345.23528,249.635941,59.736841
12202000,82.111963,264.71424,88.10675,50.4587207
12201900,23.80023,183.461373,75.7859715,51.1387604
12201800,26.046986,461.73782,322.690733,89.8422155
12201700,201.81096,3074.82147,718.08921,234.092518
12201600,277.965908,75.1493499,936.332802,179.626369
12201500,209.480557,15.6023714,1580.48119,28.1325413
12201400,0.216971,28.64164,905.430493,45.717899
12201300,11.148055,220.91011,502.499525,8.67690485
12201200,69.402375,6.3368807,668.905822,9.5557841
12201100,0.144092,12.1672893,471.592331,18.2234554
12201000,1.876965,2.02542,276.25278,7.26918847
1220900,0,5.31448,475.145681,7.72428644
1220800,0.144092,36.02255,523.849352,9.89995962
1220700,0.362434,90.5418224,311.278007,4.57683495
1220600,94.885754,1.53515,563.667707,15.1443188
1220500,32.9581663,15.68856,1214.72775,3.38248302
1220400,52.607143,78.44049,431.289983,15.1900421
1220300,142.571867,7.99597,253.269511,26.9202115
1220200,4.997232,103.4561,854.891485,50.3720062
1220100,0,29.69903,70.940654,11.6574271
1220000,0.284798,5.90865,74.0561585,8.03379752
11202300,74.222279,8.39188,51.3366426,10.8732706
11202200,201.008792,123.96757,410.145621,16.2380197
11202100,550.302705,8.7444412,108.489398,21.5034959
11202000,36.815136,14.89124,377.562563,31.5202854
11201900,9.200792,1.83702,481.488947,27.9445247
11201800,15.802083,74.74391,31.8033454,11.6289794
11201700,3.358501,16.7935307,398.051394,22.8957338
11201600,102.428112,24.4834362,228.231613,10.0498785
11201500,6.979121,119.67867,86.546592,5.3116348
11201400,3.60602,250.14221,1240.61291,1.94328986
11201300,99.597846,3.25043,157.625636,73.9269672
11201200,0.357422,1.95456,18.858123,1.7809843
11201100,0.429336,4.34031,318.895185,5.02220082
11201000,31.21623,6.97772,0.555636,3.22872306
1120900,4.91889,17.55435,25.011971,8.08281792
1120800,4.365913,1.99812,488.724368,46.0135911
1120700,108.709775,100.83555,725.249577,40.8149717
1120600,11.107238,7.81967,519.512623,5.20040408
1120500,3.799259,123.66303,7.08878,4.71302572
1120400,1214.22209,115.51483,2807.12946,42.0973835
1120300,71.035978,50.15386,883.01778,25.4437313
1120200,9.448677,34.81396,527.921168,121.46562
1120100,74.511889,35.7916851,220.23953,127.427393
1120000,7.782895,0.8577,526.980282,111.514688
1231192300,198.289873,59.56443,857.650259,49.5248381
1231192200,17.911158,65.51503,3050.50735,93.2901832
1231192100,817.145755,58.43676,447.680372,23.66208
1231192000,49.792734,199.06562,151.711128,61.6409066
1231191900,278.509449,213.19575,2450.93325,36.2885954
1231191800,1514.80843,32.01409,689.975663,69.2639403
1231191700,0.43668064,149.02249,189.089218,46.3045083
1231191600,228.28284,46.91064,185.653864,38.3167828
1231191500,79.653428,127.551839,1379.55155,79.5167626
1231191400,0.212117,153.75611,1089.67182,33.5623136
1231191300,5.144149,2.1331,8.286271,9.66396612
1231191200,236.125311,225.04119,635.728624,29.3006388
1231191100,0,20,232.801449,14.5148722
1231191000,0,0,39.616984,18.7315717
123119900,0.070972,0.36834,103.26825,12.7343193
123119800,0.141818,0.09413,358.149175,14.587437
123119700,13.621376,10.19253,275.195301,28.2302047
123119600,16.274609,27.22463,760.07504,43.9985893
123119500,0.353959,3.02525,447.234859,12.8499083
123119400,31.252452,9.04343,731.048583,18.599683
123119300,0.289392,10.5633,527.27324,44.0845446
123119200,1.070571,603.92347,1667.37509,10.3713979
123119100,7.226472,7.79654,429.059033,14.9203373
123119000,40.2511248,25.51438,266.596386,37.5407177
1230192300,28.7646733,0.28385,356.350569,76.4931344
1230192200,193.046846,20.53285,702.641564,32.4834609
1230192100,505.030483,338.55202,1268.72881,51.0649533
1230192000,190.783999,27.91913,403.250849,23.8200603
1230191900,6.511555,47.58217,191.681886,18.3336764
1230191800,107.852416,399.6307,256.569305,55.0986426
1230191700,179.038055,109.15653,305.045438,56.1748316
1230191600,23.376406,546.61397,397.138439,62.9896487
1230191500,91.28124,916.55637,668.588059,51.7653029
1230191400,2.486321,142.735,232.708412,41.8400772
1230191300,53.239226,98.68596,50.797327,24.5773239
1230191200,4.482419,4.65147,12.742946,18.5169183
1230191100,0.069686,446.69437,31.043047,4.43301966
1230191000,0.079003,22.44611,374.9498,40.165197
123019900,16.081791,250.72033,748.912283,31.261421
